country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,20.1,18.5,17.8,16.8,8.1,8.5,8.8,8.7,9.4,9.5,14.1,14.1,14,14,14.1
Algeria,9.9,9.9,8.3,8.3,6.5,6.5,6.5,6.5,6.5,6.5,6.5,8.2,8.1,8.1,8.1
Angola,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.3,25.3,21.7,20.4,21.5,21.5,21.5
Antigua and Barbuda,36.7,32.8,31.4,31.4,26.2,26.2,26.2,26.2,26.2,26,25.9,25.9,25.9,25.6,25.5
Argentina,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,0,0,0,3.9,3.9,3.9,3.6
Armenia,15.8,15.8,14.8,14.8,14.8,14.8,14.9,14.9,15.7,19.3,19.1,17.6,17.6,17.6,21.8
Australia,26.3,26.7,27.2,27.4,25.9,26,26.1,26.1,26.1,26.1,26,26,26,26,26.1
Austria,21.2,16,16,16,16.4,16.1,15.4,17,17.1,16.8,16.8,16.9,17,17.1,17.1
Azerbaijan,13.7,15.1,13.8,13.8,13.8,13.8,12.9,12.9,12.9,12.9,12.9,13,13,13.8,12.7
Bahamas,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,,,,,,,,,31.6,31.6,30.5,30.5,31.1,31.1,31.1
Barbados,,,,,,,19.4,19.5,19.5,19.5,19.5,19.5,20,19.9,19.8
Belarus,21.4,21.4,20.8,22,22,21.9,21.7,12.9,9.7,9.5,11,10.9,10.8,11.1,11.1
Belgium,9.8,9.8,7.9,6,5.4,7.4,7.8,7.8,8.3,8.3,8.4,9.1,10.3,10.9,10.3
Belize,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
Benin,21.4,21.4,21.4,21.4,16.9,15.2,15.2,15.2,11.9,11.9,11.9,11.9,11.9,11.9,11.9
Bhutan,33,33,33,33,33,33,33,33,33.9,33.9,33.9,33.9,33.9,33.9,33.9
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,22.1,22,22.1,22.1,5.3,5.6,7.1,7.1,7.3,7.2,7.2,7.2,8.4,8.4,8.4
