country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,,,,,,12.3,,,,,,,
Andorra,,,,,,,,,11,10.9,10.9,,,
Australia,,,,,,,,5.76,5.32,7.02,6.73,7.37,7.81,
Austria,,,,,,,,,10.6,10.9,10.7,11.4,,
Bahamas,,,,,4.14,,,,,,,,,
Bahrain,,,,,1,,,,,,1.29,1.28,1.42,
Bangladesh,,,,,,1.68,1.73,1.97,2.06,3.33,3.48,3.79,4.02,4.26
Belgium,,,,,,,,12.4,13.5,13.5,13.7,14.9,,
Bhutan,,,,,,,0.746,,,,,2.15,,
Bolivia,,,,,,,1.79,,,1.72,,,,
Bosnia and Herzegovina,,,,,,,,,,0.824,1.68,,1.12,
Brazil,,,,,,,,,,,0.765,0.807,0.958,
Brunei,,,,,,1.9,,,,,,,,
Burkina Faso,,,,,,,,,0,,,,,
Burundi,,,,,,,,,0.156,,,,,
Cambodia,,,,,,,,,0.452,0.658,,,,
Canada,,,,,,,,,,,7.1,,,
Cape Verde,,,,,,,,,,1.44,,,,
Chad,,,,0.263,,,,,,,,,,
Chile,,,,,,0.486,,1.03,,1.16,,1.51,,
China,,,,,0.379,,,,,,,,,
Colombia,,2.5,2.37,2.34,2.57,2.77,2.8,3.1,3.28,3.16,3.32,,3.57,
"Congo, Dem. Rep.",,,,,,,,,,,0.132,,,
Costa Rica,,,,,,,,,2.34,2.71,2.65,,2.82,
Cote d'Ivoire,,,,,,,,,1.8,,,,,
Cuba,,,,,,,4.7,,,,,,,
Cyprus,,,,,,,,,9.5,10.3,10.6,,12.2,
Czech Republic,,,,,,,,,14.8,15,15.8,16.3,,
Denmark,,,,,,,,,10.1,10.9,11.5,,12.7,
Dominican Republic,,,,,,,,,,,1.2,,,
Ecuador,,0.697,0.755,0.807,0.925,0.555,0.766,1.03,0.987,1.16,1.25,1.27,,
Egypt,,,,,,,,,,,,0.693,,
El Salvador,,,,,,,,0.264,,,,,,
Fiji,,,,,,,,,,,,1.08,,
Finland,,,,,,,10.4,10.8,11.1,11.3,,11.9,,
France,,,,,,,,,8.35,8.77,9.1,9.5,,
Gambia,,,,,,,,,,0.625,,,,
Georgia,,,,,,,27.3,,27.4,,28.2,27.1,,
Germany,,,,,,,,,10.7,11,11.5,,11.2,
Greece,,,,,,,,,2.4,2.15,2.42,,,
Guatemala,,,,,,,0.169,0.184,0.364,,,,,
Hungary,,,,,,,,7.55,8.48,8.9,8.65,,,
Indonesia,,,,,,,,,0.564,0.516,0.549,,0.614,
Iran,,,,,,,2.78,3.21,3.64,,4.46,,,
Ireland,,,,,,9.21,,,,,,11.4,,
Israel,,,,,,,,12.1,12.6,12.8,,,,
Kazakhstan,,,,0.126,,,,,,,,,0.0892,
Kuwait,,,,,,,,0.392,,0.424,,0.422,0.453,
Kyrgyz Republic,,,,15.4,,,,,,,,,,
Latvia,,,,,,,,,10.7,11.6,11.7,,14.6,
Lithuania,,,,,,,,,13.2,14,13.4,13.4,,
Malaysia,,,,,,,,,,,1.59,,,
Malta,,,,,,,,4.24,4.22,4.42,4.52,,6.64,
Marshall Islands,,,,,,0.844,,,,,,,,
