country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,84.3,,,64.7,,
Albania,,,,,,,,,,,,,,,,,,79.2,78.9,81.3,78,74.5,73.1,73.4,74.4,73.3,74.1,73.2,62.1,62.7
Angola,,,,,,,,,,,,,,,89,,,,,69.1,,89.1,,,,,,,,
Argentina,,,,,,,,,,,,,,,84.1,84.4,85,,83.9,83.9,83.8,83.6,82.5,82.6,82.2,,,79,79.6,80.4
Armenia,,,,,,,,,,,,,,,,,,57.2,70.5,60.8,71.5,69.1,65,70.3,74.5,76.9,74.6,73.6,74.1,
Australia,,,,,,,,,,,,,,,,,,,,86.7,86.3,86.6,86.9,82.6,,,,,,
Austria,,,,,,85.1,82.5,83.7,81.3,76.2,77.7,77.8,76.5,76.6,74.5,76,76.4,77.2,75.6,75.8,75.2,75.9,76.6,76.9,76.8,76.9,76.9,77.4,76.7,76.7
Bangladesh,,,,,,,,,,,,,,,,,72.6,,,,85.8,,,80.1,,,77.5,79.6,,
Belgium,,,82.5,81.6,81.8,81.7,81.6,81.6,80.2,81.6,81.4,79.8,78.9,79,80.1,79.5,78.6,79.2,78.3,77.6,76.9,76,75.8,75.8,75.7,74.9,75,75.3,75.1,74.8
Belize,,,,,,,,,,,,,,,,,,,,,,,87.7,83.8,85.7,85.6,84.5,82.8,,
Benin,,,,,,,,,,,,,,,,,,,,,,66.2,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,87.1,86,87.1,82.3,88.2,,81.5,85.5,81.7,82,80.1,78.1,77.9,79.5,82.6
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,72.9,79.7,80.5,81.3,79.7,83.7,79.8,81.2,81.4,79,78.9,77.5,76.6,74.6
Botswana,,,,,,,,,,,,,,,,,52.1,,,87.6,72.4,,,,,,,,,
Brazil,,,,,,85.6,84.4,85,84.5,83.5,,83.9,84.4,83.9,83.5,84.3,83.9,83.9,83.6,83.9,,82.7,81.6,81.3,82.5,81.4,81.7,81.6,81.1,81.4
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,85.5,,,81.9,84.1,81.4
Bulgaria,,,,,,,,,,,74.6,73.5,73.2,73.1,73.9,72.4,73.3,74.4,75.5,74.8,74.6,73.2,73.3,73.5,73.6,74.3,73.7,74.5,74.3,75.7
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,58.2,,,,71.1,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,76.1,,,,,
Cambodia,,,,,,,,,,,60.9,58.4,,,,,,79.3,73.7,65.8,89.3,93.9,94.6,80.6,63.1,75.9,79.7,79.2,,
Cameroon,,,,,,,,,,,,,,,,,,83.1,,,,,,,77.4,,,,,
Canada,81.5,81.2,80.4,80.2,79.4,79.2,78.8,78.5,78.8,78.6,78.6,78.5,78.6,79,78.6,78.2,77.8,77.7,77.6,77.7,77.2,76.7,76.5,76.3,75.7,75.7,75.4,75,74.6,74.7
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,74.4,,70.2,70.6,69.8
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,
Chile,,,,,,,,,87.4,,89.7,,,87.9,,,86.2,,,83.6,83.8,84.4,85.1,84.3,82.9,83.9,83,82.5,82.6,83.2
Colombia,,,,,,,,,,,,,,,,,,,,77.6,78,78.9,80,79.5,79.5,79.5,79,78.5,77.4,77.1
Comoros,,,,,,,,,,,,,,,76.6,,,,,,,,,,81.2,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,82,,,,,,,63.7,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,76.9,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,75.6,,,77.8,76.8,75.1,73.8,77.5,79.2,77.8,78.1,74.6,74.9,74.7,78.7
